station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
1038.0,"Harrington Square 1, Camden Town",750.0,30.0,500.0,250.0,155.0,178.0,3673385.5906666666,25.0,0.3333333333333333,0.20666666666666667,0.23733333333333334,709,30,23.633333333333333,-41.0,0.028082191780821917,2,Standard commuter-period rebalancing,-0.6502279556544986,0.15322644153302742
1039.0,"Wapping High Street, Wapping",642.0,30.0,419.0,223.0,156.0,122.0,1290595.5965732087,21.4,0.34735202492211836,0.24299065420560748,0.19003115264797507,629,30,20.966666666666665,-13.0,0.010220125786163521,2,Standard commuter-period rebalancing,-1.24979650938542,0.511110185178344
1040.0,"West Smithfield Rotunda, Farringdon",1344.0,30.0,1060.0,284.0,268.0,353.0,1282107.2708333333,44.8,0.2113095238095238,0.19940476190476192,0.26264880952380953,1338,30,44.6,-6.0,0.0022363026462914647,4,Prioritise evening dock relief and destination-side balancing,0.6424549984016686,-0.2569156782548916
1041.0,"Westbourne Grove, Bayswater",848.0,30.0,513.0,335.0,210.0,181.0,1211386.0200471699,28.266666666666666,0.39504716981132076,0.24764150943396226,0.2134433962264151,787,30,26.233333333333334,-61.0,0.03728606356968215,2,Standard commuter-period rebalancing,-0.9164471833773046,0.7859594328617442
1042.0,"Woodstock Street, Mayfair",695.0,30.0,511.0,184.0,22.0,260.0,1596107.7381294963,23.166666666666668,0.2647482014388489,0.031654676258992806,0.37410071942446044,698,30,23.266666666666666,3.0,0.002152080344332855,4,Prioritise evening dock relief and destination-side balancing,0.8400543415874053,-1.8705274494293485
1043.0,"Museum of London, Barbican",1174.0,31.0,1016.0,158.0,146.0,512.0,855670.576660988,37.87096774193548,0.13458262350936967,0.12436115843270869,0.43611584327086883,1176,30,39.2,2.0,0.0008507018290089324,4,Prioritise evening dock relief and destination-side balancing,1.604370722679004,-2.3238994773927653
1044.0,"The Guildhall, Guildhall",474.0,30.0,399.0,75.0,14.0,208.0,993454.4746835442,15.8,0.15822784810126583,0.029535864978902954,0.4388185654008439,623,30,20.766666666666666,149.0,0.13570127504553733,4,Prioritise evening dock relief and destination-side balancing,0.8574138549443817,-3.796268351112423
1045.0,"Jewry Street, Aldgate",833.0,30.0,676.0,157.0,109.0,333.0,1224080.961584634,27.766666666666666,0.18847539015606243,0.13085234093637454,0.3997599039615846,834,30,27.8,1.0,0.0005995203836930455,4,Prioritise evening dock relief and destination-side balancing,0.8029694295358503,-2.0242896270147894
1046.0,"Vauxhall Bridge , Pimlico",520.0,30.0,350.0,170.0,111.0,98.0,1192753.1538461538,17.333333333333332,0.3269230769230769,0.21346153846153845,0.18846153846153846,514,30,17.133333333333333,-6.0,0.005797101449275362,2,Standard commuter-period rebalancing,-1.3021663789760742,0.15112471067928487
1047.0,"Falkirk Street, Hoxton",758.0,30.0,533.0,225.0,185.0,161.0,873246.8799472295,25.266666666666666,0.29683377308707126,0.24406332453825857,0.21240105540897097,697,30,23.233333333333334,-61.0,0.04189560439560439,2,Standard commuter-period rebalancing,-0.9856951402573197,-0.035965962107537525
1048.0,"Queen Victoria Street, St. Paul's",1272.0,30.0,1016.0,256.0,85.0,531.0,1281031.6328616352,42.4,0.20125786163522014,0.06682389937106918,0.41745283018867924,1233,30,41.1,-39.0,0.01556264964086193,4,Prioritise evening dock relief and destination-side balancing,1.8748866579218735,-1.9204713960850066
